"","station_id","lat","lon","country","years","location","scale","shape","index","rp10","rp30","rp100","kg","cluster","distance","n_gauges","record_len","start","end"
"577","US_001573",38.7907999925713,-85.8483,"US",37,37.1598313516469,11.0009777258138,0.295156798910154,NA,72.305397304706,101.091376686045,144.781550938654,"Humid continental",NA,NA,NA,NA,NA,NA
"578","US_001652",39.8543999930916,-84.8779,"US",37,37.1820709052014,9.08679693254257,0.19839095533704,NA,62.9578031284224,81.0151056249325,105.467146272888,"Humid continental",NA,NA,NA,NA,NA,NA
"579","US_001792",42.0387999941031,-94.0419,"US",37,45.1685569795358,13.76596441794,-0.0190574496062779,NA,75.4921531568155,90.2860466044467,105.7976339704,"Humid continental",NA,NA,NA,NA,NA,NA
"580","US_002848",36.8579999915929,-92.5874,"US",37,34.1038493328241,9.97707932933194,0.258985352039068,NA,64.5787377343267,88.1308535988388,122.384490110457,"Humid subtropical",NA,NA,NA,NA,NA,NA
"581","US_003075",40.036299993179,-96.0444,"US",37,42.8458755254126,16.9677849854956,-0.0372292248006769,NA,79.4738665526795,96.7995627642498,114.582188625835,"Humid continental",NA,NA,NA,NA,NA,NA
"582","US_003597",41.9499999940637,-73.51667,"US",37,30.3960065330274,13.2795971123624,-0.212510327465218,NA,54.1492765015097,62.4440213334513,69.375463600556,"Humid continental",NA,NA,NA,NA,NA,NA
"583","US_003615",40.633329993462,-74.11667,"US",37,44.0110446329671,14.056213577353,0.0548672231947982,NA,77.6784053626569,96.2845507210614,117.563949459778,"Humid continental",NA,NA,NA,NA,NA,NA
"584","US_003740",35.0590899906633,-78.85883,"US",37,45.3985268744887,10.9692771665249,0.30919960074832,NA,81.0642661898804,110.939196601509,157.039568728751,"Humid subtropical",NA,NA,NA,NA,NA,NA
"585","US_004195",34.5796999904154,-97.351,"US",37,55.9119955986824,19.2603296215512,0.0266729300148594,NA,100.58203601271,124.127167819046,150.177301768733,"Humid subtropical",NA,NA,NA,NA,NA,NA
"586","US_004590",40.2166699932651,-76.85,"US",37,34.7472309832313,12.1356196652945,-0.020390458359682,NA,61.4397430666589,74.4327006214245,88.0346700322983,"Humid continental",NA,NA,NA,NA,NA,NA
"587","US_004897",43.7376999948248,-96.6266,"US",37,36.9457998449641,11.7103920824056,0.11316524157449,NA,66.9579578861164,85.2355086223819,107.622799376848,"Humid continental",NA,NA,NA,NA,NA,NA
"588","US_005179",32.8977999895561,-97.0189,"US",37,46.2879939683731,13.4742570536554,-0.0409794442474886,NA,75.2538963829894,88.8679861409473,102.779720708204,"Humid subtropical",NA,NA,NA,NA,NA,NA
"589","US_005460",29.5837999879817,-95.7552,"US",37,56.1104814393568,13.7207288074119,-0.0041886849141284,NA,86.8420943941901,102.217892864054,118.623677196276,"Humid subtropical",NA,NA,NA,NA,NA,NA
"590","US_005601",40.9382999936042,-111.1472,"US",37,12.7382217317196,3.17822515633724,0.0940488638370506,NA,20.7035990459311,25.4030726053857,31.0312121083015,"Humid continental",NA,NA,NA,NA,NA,NA
"591","US_005961",47.7129999962522,-121.3313,"US",37,23.1348444371661,5.50976559594764,0.0443242450366199,NA,36.1732982067673,43.2527068181921,51.2495161224387,"Mediterranean",NA,NA,NA,NA,NA,NA
