,lat,lon,country,rp10,rp100,kg
AU_001736,-37.269799991804,144.723,AU,-28.8163665232756,-34.9762208951536,Oceanic
AU_001737,-37.8564999921026,144.7566,AU,-44.3234544672032,-49.1111272224378,Oceanic
AU_001739,-37.9909999921706,144.4943,AU,-38.9276295819534,-44.1498717696737,Oceanic
AU_001742,-37.5705999919574,144.7411,AU,-40.4891431151671,-49.262147826979,Oceanic
AU_001744,-37.4827999919127,144.5094,AU,-41.8624705817401,-50.3821887138007,Oceanic
AU_001764,-36.9578999916442,144.6935,AU,-46.9802644313933,-52.8189456833438,Oceanic
AU_001770,-37.512699991928,143.7911,AU,-47.5647938162578,-54.2643863782292,Oceanic
AU_001771,-37.7109999920288,142.8395,AU,-38.1320716441184,-40.5770724177865,Oceanic
AU_001772,-37.4042999918727,142.3843,AU,-31.2977312811542,-32.9745535658616,Oceanic
AU_001774,-37.5041999919236,143.2792,AU,-13.4553551274736,-15.4864599616176,Oceanic
AU_001775,-37.2768999918077,142.9786,AU,-28.8811157525651,-32.699676551832,Oceanic
AU_001780,-38.6356999924941,143.5127,AU,-42.7787227106559,-46.7533063643614,Oceanic
AU_001782,-37.5907999919677,141.4129,AU,-25.6049305613174,-27.6223642108193,Mediterranean
AU_001783,-38.2549999923036,143.1256,AU,-22.0956043411786,-24.4709693963916,Oceanic
AU_001787,-31.9274999890739,115.9764,AU,-34.8266186756093,-39.7688035738261,Mediterranean
AU_001789,-31.9555999890876,115.8697,AU,-27.223057521097,-25.2302389192324,Mediterranean
AU_001797,-41.0660999936633,145.9431,AU,-37.9134782063613,-45.0535134103104,Oceanic
AU_001800,-41.4263999938283,147.1275,AU,-25.5486902794767,-31.0176979265695,Oceanic
AU_001814,-41.2038999937267,146.265,AU,-41.2948199707358,-46.3791814322356,Oceanic
AU_001817,-41.3455999937915,147.8036,AU,-41.9999758919327,-44.5465210375188,Oceanic
AU_001822,-41.4193999938252,147.1222,AU,-22.3973120902482,-27.7638157532945,Oceanic
AU_001835,-41.6427999939263,147.9664,AU,-33.3312318143483,-37.0360110414106,Oceanic
AU_001867,-42.9829999945119,147.0771,AU,-23.8414556912423,-36.0383359105196,Oceanic
AU_001869,-43.1646999945884,146.9175,AU,-31.7699452859348,-44.1277087872227,Oceanic
AU_001895,-34.4477999903474,116.0433,AU,-37.2395733980752,-41.8063532942458,Mediterranean
AU_001900,-42.0999999941302,146.2167,AU,-18.103509898222,-27.4177959911443,Oceanic
AU_001911,-42.0660999941152,145.5681,AU,-30.2123986847546,-36.5453759478034,Oceanic
AU_001919,-34.9413999906024,117.8022,AU,-32.4747791228748,-32.5654650532376,Mediterranean
CH_000001,46.4922199958545,7.56056,CH,-54.8063680322495,-66.5817853871525,Alpine & subarctic
CH_000005,46.3266699957978,6.92444,CH,-36.9126896804303,-47.9846957870981,Alpine & subarctic
CH_000008,46.8869399959871,8.62167,CH,-31.6791690231821,-36.232634943868,Alpine & subarctic
CH_000015,47.5411099961984,7.58361,CH,-55.6369408374334,-58.9577027472884,Humid continental
CH_000021,46.9908299960213,7.46389,CH,-61.9439892390124,-66.9344788775333,Alpine & subarctic
CH_000041,47.3844399961487,8.07944,CH,-56.3698339649284,-62.0120068571535,Humid continental
CH_000042,47.0830599960515,6.79222,CH,-59.2450433734799,-64.7272151933841,Humid continental
