,station_id,lat,lon,country,years,location,scale,shape,index,rp10,rp30,rp100,kg,cluster,distance,n_gauges,record_len,start,end,rp10_vs_PXR2,rp100_vs_PXR2
210,AU_001109,-27.27109999,152.0642,AU,342,0.814939064,0.280556285,0.077332895,29.2,44,55.6,69.1,Humid subtropical,107,60,10,15.95049,19/07/1965 03:00,01/07/1981 00:00,NA,NA
211,AU_001110,-26.58919999,152.7322,AU,877,0.828163013,0.283189709,0.029100474,39.8,59.1,73,88.3,Humid subtropical,117,140,25,18.10164,25/06/1963 10:00,01/08/1981 00:00,NA,NA
212,AU_001112,-27.70939999,153.2014,AU,877,0.828163013,0.283189709,0.029100474,33.8,50.3,62,75.1,Humid subtropical,117,140,25,36.24561,03/05/1967 08:00,01/08/2003 00:00,-53.37606395,-53.92519089
213,AU_001113,-20.85079999,120.6961,AU,561,0.807174818,0.358667376,-0.041554176,42.4,66.8,82.2,97.8,Arid hot,28,920,21,17.49144,05/08/1997 07:00,01/02/2015 00:00,NA,NA
214,AU_001117,-25.65499999,151.745,AU,129,0.840060244,0.319179366,-0.082720497,37.4,55.9,66.6,77,Humid subtropical,158,540,4,19.7358,06/07/1995 13:00,01/04/2015 00:00,NA,NA
215,AU_001119,-25.99629999,152.8335,AU,877,0.828163013,0.283189709,0.029100474,37.1,55.1,68.1,82.4,Humid subtropical,117,140,25,42.22621,07/01/1973 22:00,01/04/2015 00:00,-45.82656643,-38.92101587
216,AU_001122,-27.53139999,153.1825,AU,314,0.824143299,0.274359578,0.060828591,35.6,53,66.1,81.3,Humid subtropical,6,20,8,43.36596,18/11/1971 15:00,01/04/2015 00:00,-49.56105686,-45.48982639
217,AU_001123,-27.49999999,153.1,AU,314,0.824143299,0.274359578,0.060828591,37.8,56.2,70.1,86.2,Humid subtropical,6,20,8,17.28291,18/11/1971 11:00,01/03/1989 00:00,NA,NA
218,AU_001124,-27.60809999,153.2381,AU,877,0.828163013,0.283189709,0.029100474,38.4,57.2,70.6,85.4,Humid subtropical,117,140,25,43.20306,19/11/1971 03:00,01/02/2015 00:00,-40.61638718,-29.70307447
219,AU_001125,-27.39469999,152.9308,AU,314,0.824143299,0.274359578,0.060828591,36.1,53.7,67,82.4,Humid subtropical,6,20,8,34.205,18/11/1971 16:00,01/02/2006 00:00,-33.02695855,-22.02705771
220,AU_001131,-25.86939999,152.3172,AU,877,0.828163013,0.283189709,0.029100474,36.2,53.8,66.4,80.4,Humid subtropical,117,140,25,42.94102,21/03/1972 20:00,01/03/2015 00:00,-37.11483999,-31.42849564
221,AU_001142,-27.49729999,153.4078,AU,877,0.828163013,0.283189709,0.029100474,38.3,56.9,70.2,85,Humid subtropical,117,140,25,31.26626,24/01/1984 01:00,01/05/2015 00:00,NA,NA
222,AU_001144,-28.04809999,153.2875,AU,1117,0.834948484,0.285052462,0.001822803,39.4,58.2,71,84.7,Oceanic,120,160,33,40.52396,21/09/1974 16:00,01/04/2015 00:00,-35.11363226,-25.62642394
223,AU_001145,-28.10559999,153.3286,AU,1117,0.834948484,0.285052462,0.001822803,35.7,52.7,64.3,76.7,Humid subtropical,120,160,33,40.46042,13/11/1974 21:00,01/05/2015 00:00,-42.42768169,-40.15478092
224,AU_001148,-28.11779999,153.4457,AU,1117,0.834948484,0.285052462,0.001822803,38.9,57.4,70,83.6,Humid subtropical,120,160,33,40.62731,13/11/1974 22:00,01/07/2015 00:00,-44.70063726,-39.6988293
225,AU_001152,-27.69559999,152.9408,AU,877,0.828163013,0.283189709,0.029100474,35.7,53.1,65.5,79.3,Humid subtropical,117,140,25,38.95083,19/12/1975 06:00,01/12/2014 00:00,-49.24112725,-46.79383607
226,AU_001153,-26.66139999,152.2003,AU,877,0.828163013,0.283189709,0.029100474,35.2,52.4,64.7,78.3,Humid subtropical,117,140,25,37.89824,06/08/1977 17:00,01/07/2015 00:00,NA,NA
227,AU_001155,-28.17519999,152.6557,AU,1117,0.834948484,0.285052462,0.001822803,36.1,53.3,65.1,77.7,Humid subtropical,120,160,33,37.57632,02/12/1977 07:00,01/07/2015 00:00,-42.13917961,-36.16382288
228,AU_001157,-27.64729999,153.1718,AU,877,0.828163013,0.283189709,0.029100474,40.8,60.6,74.8,90.6,Humid subtropical,117,140,25,26.02658,21/01/1989 20:00,01/02/2015 00:00,NA,NA
229,AU_001167,-27.91359999,153.3657,AU,1117,0.834948484,0.285052462,0.001822803,40.2,59.4,72.4,86.4,Humid subtropical,120,160,33,23.07096,03/02/1992 09:00,01/03/2015 00:00,NA,NA
230,AU_001169,-27.68389999,153.1947,AU,877,0.828163013,0.283189709,0.029100474,37.6,55.8,68.9,83.4,Humid subtropical,117,140,25,22.735,05/10/1992 02:00,01/07/2015 00:00,NA,NA
231,AU_001170,-25.90069999,153.0891,AU,877,0.828163013,0.283189709,0.029100474,42.9,63.7,78.7,95.3,Humid subtropical,117,140,25,22.79352,14/06/1992 17:00,01/04/2015 00:00,NA,NA
232,AU_001173,-27.48079999,153.0389,AU,314,0.824143299,0.274359578,0.060828591,44.1,65.6,81.9,100.6,Humid subtropical,6,20,8,15.57027,05/01/2000 00:00,01/08/2015 00:00,NA,NA
233,AU_001183,-27.93169999,151.9058,AU,1117,0.834948484,0.285052462,0.001822803,31.7,46.8,57.1,68.1,Humid subtropical,120,160,33,42.36607,19/09/1972 20:00,01/02/2015 00:00,-50.40864327,-45.66972094
234,AU_001184,-28.20609999,152.1003,AU,1117,0.834948484,0.285052462,0.001822803,26.8,39.7,48.4,57.7,Humid subtropical,120,160,33,49.11488,18/02/1952 20:00,01/04/2001 00:00,-42.72441526,-33.30718872
235,AU_001185,-28.33439999,152.2953,AU,1117,0.834948484,0.285052462,0.001822803,28.1,41.5,50.7,60.5,Humid subtropical,120,160,33,42.59617,24/09/1972 19:00,01/05/2015 00:00,-35.85894818,-28.63230727
236,AU_001187,-28.00919999,151.5861,AU,299,0.831133496,0.266181895,0.054882504,25.5,37.5,46.5,56.7,Humid subtropical,144,240,9,37.75496,01/03/1959 01:00,01/12/1996 00:00,-41.11091584,-34.52270296
237,AU_001193,-28.85439999,151.1681,AU,299,0.831133496,0.266181895,0.054882504,27.8,40.9,50.7,61.9,Humid subtropical,144,240,9,42.50023,29/09/1972 20:00,01/04/2015 00:00,-44.90837264,-37.91972105
238,AU_001195,-28.57249999,150.7542,AU,299,0.831133496,0.266181895,0.054882504,23.9,35.2,43.6,53.3,Humid subtropical,144,240,9,42.75576,29/05/1969 12:00,01/03/2012 00:00,-48.3953973,-45.47023924
239,AU_001196,-28.16719999,150.6475,AU,427,0.821379898,0.288630641,0.040523107,29.1,43.7,54.3,66.3,Humid subtropical,139,240,14,39.05031,10/02/1973 22:00,01/03/2012 00:00,-59.2042918,-56.86036702
240,AU_001197,-27.18639999,151.2553,AU,427,0.821379898,0.288630641,0.040523107,29.3,44,54.8,66.9,Humid subtropical,139,240,14,32.95676,17/03/1959 14:00,01/03/1992 00:00,-42.36533071,-36.86777714
241,AU_001198,-28.62169999,151.9533,AU,1117,0.834948484,0.285052462,0.001822803,24,35.4,43.2,51.6,Oceanic,120,160,33,49.41273,01/11/1965 01:00,01/04/2015 00:00,-39.50469555,-31.60987102
242,AU_001202,-27.40339999,151.7413,AU,129,0.840060244,0.319179366,-0.082720497,32.3,48.4,57.6,66.7,Humid subtropical,158,540,4,42.08681,29/06/1973 20:00,01/08/2015 00:00,-43.19879891,-40.61032738
243,AU_001205,-28.96529999,151.47,AU,299,0.831133496,0.266181895,0.054882504,29.7,43.6,54.1,66,Oceanic,144,240,9,25.46543,11/01/1990 19:00,01/07/2015 00:00,NA,NA
244,AU_001206,-28.21439999,151.9194,AU,1117,0.834948484,0.285052462,0.001822803,35.7,52.7,64.3,76.8,Humid subtropical,120,160,33,28.5875,30/04/1986 11:00,01/12/2014 00:00,NA,NA
245,AU_001207,-28.42249999,151.213,AU,299,0.831133496,0.266181895,0.054882504,29.4,43.2,53.6,65.4,Humid subtropical,144,240,9,38.64807,06/10/1976 20:00,01/06/2015 00:00,-47.26137846,-44.0462969
246,AU_001209,-27.56669999,151.885,AU,342,0.814939064,0.280556285,0.077332895,27.7,41.7,52.7,65.5,Humid subtropical,107,60,10,27.07906,02/01/1957 10:00,01/02/1984 00:00,NA,NA
247,AU_001211,-27.14939999,151.2894,AU,427,0.821379898,0.288630641,0.040523107,31.8,47.8,59.5,72.6,Humid subtropical,139,240,14,27.564,07/08/1985 07:00,01/03/2013 00:00,NA,NA
248,AU_001212,-27.38249999,151.9244,AU,342,0.814939064,0.280556285,0.077332895,29.2,44,55.6,69.1,Humid subtropical,107,60,10,23.72074,11/09/1991 01:00,01/06/2015 00:00,NA,NA
249,AU_001213,-28.52109999,150.3256,AU,427,0.821379898,0.288630641,0.040523107,25.2,37.8,47.1,57.5,Humid subtropical,139,240,14,23.57643,05/07/1991 18:00,01/02/2015 00:00,NA,NA
250,AU_001214,-27.16049999,151.2634,AU,427,0.821379898,0.288630641,0.040523107,30,45.1,56.1,68.5,Humid subtropical,139,240,14,22.42859,26/01/1992 00:00,01/07/2014 00:00,NA,NA
251,AU_001221,-27.34099999,150.0621,AU,427,0.821379898,0.288630641,0.040523107,28.6,42.9,53.3,65.1,Humid subtropical,139,240,14,45.87839,14/07/1969 23:00,01/06/2015 00:00,-38.94075468,-34.1336
