station_id,lat,lon,country,years,location,scale,shape,index,rp10,rp30,rp100,kg,cluster,distance,n_gauges,record_len,start,end
DE_000610,53.7330999977018,9.8776,DE,700,0.8350379,0.2373284,0.1072438,31.9,46.0,57.6,71.8,Oceanic,107.0,240.0,31.0,20.07746,1996-02-07 17:00:00,2016-03-06 23:00:00
DE_000619,49.0423999966439,12.1021,DE,447,0.8161754,0.2397387,0.1623833,29.8,43.8,56.6,73.3,Humid continental,375.0,820.0,23.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000658,49.212799996691,7.1077,DE,266,0.8545288,0.2412311,0.02549338,29.7,42.0,50.7,60.3,Oceanic,374.0,260.0,14.0,19.70842,1996-06-20 12:00:00,2016-03-05 23:00:00
DE_000665,52.1041999973885,8.7521,DE,700,0.8350379,0.2373284,0.1072438,30.5,43.9,55.0,68.5,Oceanic,107.0,240.0,31.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000668,54.3278999978033,8.603,DE,700,0.8350379,0.2373284,0.1072438,27.3,39.3,49.3,61.4,Oceanic,107.0,240.0,31.0,16.26705,1999-11-30 11:00:00,2016-03-06 23:00:00
DE_000676,50.5678999970415,11.8041,DE,415,0.8379276,0.2843391,-0.007347867,29.1,42.8,52.0,61.8,Humid continental,370.0,140.0,21.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000677,54.5274999978359,9.5486,DE,800,0.8193455,0.2529732,0.1225595,28.7,42.3,53.9,68.3,Oceanic,366.0,360.0,40.0,20.51472,1995-09-01 00:00:00,2016-03-06 23:00:00
DE_000685,50.6545999970625,10.7693,DE,447,0.8161754,0.2397387,0.1623833,34.6,50.8,65.7,85.0,Humid continental,375.0,820.0,23.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000704,53.6424999976857,11.3872,DE,800,0.8193455,0.2529732,0.1225595,24.2,35.7,45.5,57.6,Humid continental,366.0,360.0,40.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000706,52.8910999975465,11.7297,DE,800,0.8193455,0.2529732,0.1225595,27.4,40.4,51.5,65.2,Humid continental,366.0,360.0,40.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
DE_000719,52.9603999975598,9.7931,DE,700,0.8350379,0.2373284,0.1072438,31.3,45.0,56.4,70.3,Oceanic,107.0,240.0,31.0,20.51198,1995-09-01 00:00:00,2016-03-05 23:00:00
