"","station_id","lat","lon","country","years","location","scale","shape","index","rp10","rp30","rp100","kg","cluster","distance","n_gauges","record_len","start","end","rp10_vs_PXR2","rp100_vs_PXR2"
"387","AU_001546",-35.3945999908369,148.2469,"AU",335,0.839427551247827,0.288447578462711,-0.0211666763840326,30.6,45.1,54.5,64.4,"Oceanic",13,100,10,18.7723,"1955-03-25 11:00:00","1974-01-01 00:00:00",NA,NA
"388","AU_001547",-36.2253999912669,148.1431,"AU",159,0.775277524828796,0.322752476221469,0.108215091762547,26.5,42.4,55.6,71.7,"Oceanic",176,920,6,33.09332,"1961-01-25 17:00:00","1994-03-01 00:00:00",18.7333493127118,16.7317025706154
"389","AU_001548",-35.9382999911185,148.3842,"AU",465,0.827637345045532,0.271574641270547,0.0551338344407782,27.4,40.4,50.3,61.5,"Oceanic",21,240,18,18.65161,"1956-03-07 13:00:00","1974-11-01 00:00:00",NA,NA
"390","AU_001549",-35.9110999911044,148.2167,"AU",222,0.841058695820746,0.253730341064987,0.0475595085390388,28.3,40.8,50.1,60.7,"Oceanic",19,120,6,26.10598,"1971-02-21 20:00:00","1997-04-01 00:00:00",NA,NA
"391","AU_001555",-36.1332999912193,148.3833,"AU",159,0.775277524828796,0.322752476221469,0.108215091762547,23.6,37.6,49.3,63.6,"Oceanic",176,920,6,15.43737,"1959-05-25 13:00:00","1974-11-01 00:00:00",NA,NA
"392","AU_001560",-35.1582999907147,147.4575,"AU",222,0.841058695820746,0.253730341064987,0.0475595085390388,30.4,43.9,53.9,65.2,"Humid subtropical",19,120,6,69.80424,"1945-01-11 01:00:00","2014-11-01 00:00:00",20.4458495431836,18.3012044539177
"393","AU_001562",-35.3204999907986,147.9419,"AU",222,0.841058695820746,0.253730341064987,0.0475595085390388,33.5,48.4,59.4,71.9,"Humid subtropical",19,120,6,22.23591,"1993-01-04 09:00:00","2015-04-01 00:00:00",NA,NA
"394","AU_001563",-35.8989999910981,148.182,"AU",222,0.841058695820746,0.253730341064987,0.0475595085390388,24.7,35.6,43.8,53,"Oceanic",19,120,6,18.4149,"1997-03-02 00:00:00","2015-08-01 00:00:00",NA,NA
"395","AU_001566",-35.3666999908225,145.05,"AU",652,0.7812483919844,0.281735768844559,0.169322753564368,25.7,39.9,53.2,70.5,"Arid cold",33,200,19,27.37075,"1950-07-18 21:00:00","1977-12-01 00:00:00",NA,NA
"396","AU_001567",-35.1310999907005,147.3091,"AU",222,0.841058695820746,0.253730341064987,0.0475595085390388,27.1,39.1,48,58.1,"Humid subtropical",19,120,6,56.9846,"1947-02-06 10:00:00","2004-02-01 00:00:00",NA,NA
"397","AU_001568",-35.5268999909055,144.952,"AU",652,0.7812483919844,0.281735768844559,0.169322753564368,23.7,36.8,49,65,"Arid cold",33,200,19,25.42551,"1977-12-27 09:00:00","2003-06-01 00:00:00",NA,NA
"398","AU_001570",-34.3182999902807,146.0667,"AU",195,0.791664953807985,0.28958815649134,0.126727223737701,24.9,38.5,50.2,64.7,"Arid cold",117,260,5,58.14271,"1931-06-10 10:00:00","1989-08-01 00:00:00",-12.1837321767166,-17.1309785744658
"399","AU_001574",-35.1200999906949,142.004,"AU",652,0.7812483919844,0.281735768844559,0.169322753564368,23.8,37,49.2,65.3,"Arid cold",33,200,19,25.78325,"1988-08-18 17:00:00","2014-06-01 00:00:00",NA,NA
"400","AU_001576",-35.7252999910082,142.3656,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,24.4,37,48.6,63.6,"Arid cold",12,280,28,37.33664,"1958-03-30 20:00:00","1995-08-01 00:00:00",36.2498609147812,15.3932661326644
"401","AU_001577",-35.6703999909798,142.2688,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,17.7,26.8,35.1,46,"Arid cold",12,280,28,17.41821,"1998-03-01 01:00:00","2015-08-01 00:00:00",NA,NA
"402","AU_001578",-36.6612999914917,142.0687,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,20.2,30.6,40.2,52.6,"Oceanic",12,280,28,17.40771,"1998-02-01 21:00:00","2015-07-01 00:00:00",NA,NA
"403","AU_001579",-37.0935999917138,142.4344,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,24.8,37.6,49.4,64.7,"Mediterranean",12,280,28,41.22279,"1974-05-11 10:00:00","2015-08-01 00:00:00",NA,NA
"404","AU_001580",-37.2299999917837,141.9609,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,23,34.9,45.8,59.9,"Oceanic",12,280,28,60.6588,"1955-01-03 10:00:00","2015-09-01 00:00:00",-21.3395562940972,-40.7096885272558
"405","AU_001581",-36.7912999915586,143.1207,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,24.7,37.4,49,64.2,"Oceanic",12,280,28,42.56628,"1973-02-05 17:00:00","2015-09-01 00:00:00",18.8322461526122,7.60089537547605
"406","AU_001582",-36.700699991512,142.2009,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,18.9,28.7,37.6,49.2,"Oceanic",12,280,28,39.84474,"1958-01-26 18:00:00","1997-12-01 00:00:00",-10.10209518331,-32.8658864696686
"407","AU_001583",-36.8636999915959,143.123,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,24.8,37.6,49.4,64.6,"Oceanic",12,280,28,42.37965,"1973-01-12 21:00:00","2015-06-01 00:00:00",-3.32385417046634,-13.5996219710323
"408","AU_001586",-36.2714999912907,143.345,"AU",652,0.7812483919844,0.281735768844559,0.169322753564368,22.3,34.6,46.1,61.2,"Arid cold",33,200,19,63.90726,"1951-09-03 22:00:00","2015-08-01 00:00:00",0.840382470836152,-15.7807538639012
"409","AU_001589",-35.9118999911048,145.6447,"AU",195,0.791664953807985,0.28958815649134,0.126727223737701,26.6,41.2,53.7,69.2,"Humid subtropical",117,260,5,57.76386,"1957-09-24 19:00:00","2015-07-01 00:00:00",1.68625398475803,-15.1277291956207
"410","AU_001590",-35.7356999910136,143.9295,"AU",652,0.7812483919844,0.281735768844559,0.169322753564368,20.9,32.5,43.3,57.4,"Arid cold",33,200,19,46.62457,"1957-10-16 10:00:00","2004-06-01 00:00:00",-0.548729556565233,-23.2617985322544
"411","AU_001594",-28.7952999876461,114.6975,"AU",324,0.733216608138936,0.355024434971729,0.151158698121912,28.3,47.7,65.1,87.5,"Mediterranean",104,640,10,58.44045,"1953-04-22 16:00:00","2011-10-01 00:00:00",-1.17245558494398,-22.3152434726519
"412","AU_001596",-36.7532999915391,144.2825,"AU",652,0.7812483919844,0.281735768844559,0.169322753564368,23.4,36.4,48.4,64.2,"Oceanic",33,200,19,24.44524,"1968-02-20 10:00:00","1992-08-01 00:00:00",NA,NA
"413","AU_001598",-36.8338999915805,143.8917,"AU",652,0.7812483919844,0.281735768844559,0.169322753564368,23.6,36.6,48.8,64.7,"Oceanic",33,200,19,30.60153,"1973-08-24 20:00:00","2004-04-01 00:00:00",26.5751057389345,3.35121226719512
"414","AU_001599",-36.9421999916362,143.4711,"AU",1010,0.797679314876292,0.263766512506104,0.162581309602641,21.3,32.3,42.4,55.5,"Oceanic",12,280,28,41.13267,"1974-05-13 08:00:00","2015-07-01 00:00:00",-2.54647490940738,-23.2317872829544
